PDB ID,Chain ID
8PZQ,D
8BSI,y
8FIZ,AW
7WV5,E
7ZLQ,D
8J1J,C
8GXB,B
7XLT,B
8H0W,P
8H0V,P
7ZW0,sm
8BWT,A
7YCH,B
8P4C,P
7Y2P,A
8FNK,g
8FJL,b6
7QDE,A
8FOJ,P
7YED,T
8FNC,g
8A22,A2
8B9I,C
7S7C,D
8G5M,R
7UND,P
8BMW,R
8E40,R
8H7Q,D
8JH3,P
8HB8,A
8FNK,m
8HUD,B
8OVA,AB
8P4B,P
8FJL,b5
7UNC,P
8FNC,m
8AM9,X
8EHQ,R
7QI4,Ay
7QGG,w
7Z42,H
8FNI,m
8AF0,D
7XTD,P
8SQK,T
7MKT,A
8FJL,b3
7XSX,P
7M5D,4
7ZTA,MRN1
8BTR,y
8QPP,V
7WV3,E
7TOQ,MRNA
8FIX,R
8FJL,a2
8P4A,P
8FOM,XX
7Y2P,B
7VPX,K
8G6R,I
8A98,S4
8G7T,X
7WBX,P
8G6R,J
7TRA,R
8G5Z,mR
8GU6,J
8H0I,X
8HF1,K
8FFI,J
7WBV,P
8D4A,C
8CLR,A
8P4F,P
7PWO,w2
8WAX,Z
7ZHG,5
8FJL,b1
7QIZ,aA
8JH4,P
8EYU,A
8T29,R
7ZAH,5
7VFT,A
8D4A,B
8FNF,m
7QI4,Az
8PDS,E
8WB0,Z
7KUD,A
7XSZ,P
7ZOL,C
8D29,F
7Y8Y,E
8FON,XX
7SBA,Z
7YPA,H
8IFK,C
7YGB,B
8SXL,B
8FJK,a6
8UPT,A
8HE5,P
8I3Z,A
8APN,A6
7QP6,7
8C8J,C
8WAY,Z
7SBB,X
8A22,A1
7XN7,P
8JDK,A
8WAZ,Z
8DO6,I
8A22,A9
8F5G,F
7YPA,I
8FOK,P
8FVI,B
7WM4,B
8H69,5
8A40,P
7UOE,P
8BH9,B
8SNX,T
8EWG,B
8A22,B1
8HKU,AETN
7R21,R
8P4D,P
7PMM,D
8J62,X
7XYB,R
7WM4,A
8SH5,R
8D9G,C
7SZU,R
