Target;Type;Res;Oligo.State;Entry Date; Server Exp.;Human Exp.;QA Exp.;Cancellation Date;Description
T1104;All groups;117;A1;2022-05-02;2022-05-05;2022-05-23;-;-;EntV136  7roa  
T1105;All groups;331;A1;2022-05-03;2022-05-06;2022-05-24;-;2022-10-10;Bacterial enzyme   <em><font color=red>Canceled - no structure.</font></em>
H1106;All groups;236;A1B1;2022-05-04;2022-05-07;2022-05-25;2022-05-28;-;YscY-YscX 7qih  
T1106s1;All groups;122;A1;2022-05-04;2022-05-07;2022-05-25;-;-;YscY-YscX 7qih  
T1106s2;All groups;114;A1;2022-05-04;2022-05-07;2022-05-25;-;-;YscY-YscX 7qih  
T1109;All groups;227;A2;2022-05-05;2022-05-08;2022-05-26;2022-05-29;-;D180A isocyanide hydratase   
T1110;All groups;227;A2;2022-05-05;2022-05-08;2022-05-26;2022-05-29;-;wild-type isocyanide hydratase   
H1111;All groups;940;A9B9C9;2022-05-06;2022-05-09;2022-05-27;2022-05-30;-;YscY-YscX-LcrD 7qij  
R1107;RNA;69;A2;2022-05-06;2022-05-09;2022-05-28;-;-;CPEB3 ribozyme 7qr4  
R1108;RNA;69;A2;2022-05-06;2022-05-09;2022-05-27;-;-;CPEB3 ribozyme 7qr3  
T1105v1;Server /Ligand;331;A1;2022-05-06;2022-05-09;2022-05-24;-;2022-10-10;Queuine salvage enzyme DUF2419   <em><font color=red>Canceled - no structure.</font></em>
T1112;All groups;460;A1;2022-05-09;2022-05-12;2022-05-30;-;-;O93732.1 8ork  
T1113;All groups;193;A2;2022-05-10;2022-05-13;2022-05-31;2022-06-03;-;gp2 7uyx  
H1114;All groups /Ligand;1093;A4B8C8;2022-05-11;2022-05-14;2022-06-01;2022-06-04;-;A0QUM5, A0QUM6, A0QUM7 7utd  
T1114s1;All groups;189;A1;2022-05-11;2022-05-14;2022-06-01;-;-;A0QUM5, A0QUM6, A0QUM7 7utd  
T1114s2;All groups;369;A1;2022-05-11;2022-05-14;2022-06-01;-;-;A0QUM5, A0QUM6, A0QUM7 7utd  
T1114s3;All groups;535;A1;2022-05-11;2022-05-14;2022-06-01;-;-;A0QUM5, A0QUM6, A0QUM7 7utd  
T1115;All groups;288;A16;2022-05-12;2022-05-15;2022-06-02;2022-06-05;-;Stomatin   
R1116;RNA;157;A1;2022-05-13;2022-05-16;2022-06-04;-;-;Cloverleaf RNA 8s95  
R1117;RNA /Ligand;30;A1;2022-05-13;2022-05-16;2022-06-03;-;-;PreQ1 class I type III riboswitch 8fza  
T1118;All groups /Ligand;776;A1;2022-05-13;2022-05-16;2022-06-03;-;2022-07-27;Q9I116   <em><font color=red>Not a TS target:<br>auxiliary structure for ligand prediction.  <br>Canceled (no ligand).</font></em>
T1118v1;Server /Ligand;776;A1;2022-05-13;2022-05-16;2022-06-03;-;-;Q9I116 8b43  <em><font color=red>Not a TS target:<br>auxiliary structure for ligand prediction.</font></em>
T1119;All groups;153;A3;2022-05-16;2022-05-19;2022-06-06;2022-06-09;-;7sq4 7sq4  
T1120;All groups;235;A1;2022-05-16;2022-05-19;2022-06-06;-;-;DdrC 7qvb  
T1121;All groups;381;A2;2022-05-17;2022-05-20;2022-06-07;2022-06-10;-;JetD 7til  
T1122;All groups;241;A1;2022-05-17;2022-05-20;2022-06-07;-;-;A0A0B4VFQ3 8bbt  
T1123;All groups;266;A2;2022-05-18;2022-05-21;2022-06-08;2022-06-11;-;Genbank YP_002290968.1 7uzt  
T1124;All groups /Ligand;384;A2;2022-05-18;2022-05-21;2022-06-08;2022-06-11;-;MfnG, A0A0D4WTP2 7ux8  
T1125;All groups;1200;A1;2022-05-19;2022-05-22;2022-06-09;-;-;gp96RNAP 8h2n  
R1126;RNA /Ligand;363;A1;2022-05-20;2022-05-23;2022-06-11;-;-;Traptamer   
R1128;RNA;238;A1;2022-05-20;2022-05-23;2022-06-10;-;-;6WJ 8btz  
T1127;All groups /Ligand;211;A2;2022-05-20;2022-05-23;2022-06-10;2022-06-13;-;Q9ZV05   
H1129;All groups;1387;A1B1;2022-05-23;2022-05-26;2022-06-13;2022-06-16;-;P06971; P23207 8a8c  
T1129s2;All groups;640;A1;2022-05-23;2022-05-26;2022-06-13;-;-;P06971; P23207 8a8c  
T1130;All groups;198;A1;2022-05-24;2022-05-27;2022-06-14;-;-;g3873   
T1131;All groups;173;A1;2022-05-24;2022-05-27;2022-06-14;-;-;g2703   
T1132;All groups;102;A6;2022-05-25;2022-05-28;2022-06-15;2022-06-18;-;PA0709 8ecx  
T1133;All groups;585;A1;2022-05-25;2022-05-28;2022-06-15;-;-;Q9BY44 8dys  
H1134;All groups;543;A1B1;2022-05-26;2022-05-29;2022-06-16;2022-06-19;-;TleTli or WP_062934778.1, WP_013096194 7ubz  
T1134s1;All groups;230;A1;2022-05-26;2022-05-29;2022-06-16;-;-;TleTli or WP_062934778.1, WP_013096194 7ubz  
T1134s2;All groups;313;A1;2022-05-26;2022-05-29;2022-06-16;-;-;TleTli or WP_062934778.1, WP_013096194 7ubz  
H1135;All groups /Ligand;220;A9B3;2022-05-27;2022-05-30;2022-06-17;2022-06-20;-;O94901; Q12912 7z8y  
R1136;RNA /Ligand;374;A1;2022-05-27;2022-05-30;2022-06-18;-;-;Apta-FRET 7zj4  
T1137s1;All groups;409;A1;2022-05-30;2022-06-02;2022-06-20;-;-;MceG complex 8fef  
T1137s2;All groups;343;A1;2022-05-30;2022-06-02;2022-06-20;-;-;MceG complex 8fef  
T1137s3;All groups;524;A1;2022-05-31;2022-06-03;2022-06-21;-;-;MceG complex 8fef  
T1137s4;All groups;547;A1;2022-05-31;2022-06-03;2022-06-21;-;-;MceG complex 8fef  
T1137s5;All groups;390;A1;2022-06-01;2022-06-04;2022-06-22;-;-;MceG complex 8fef  
T1137s6;All groups;518;A1;2022-06-01;2022-06-04;2022-06-22;-;-;MceG complex 8fef  
T1137s7;All groups;653;A1;2022-06-02;2022-06-05;2022-06-23;-;-;MceG complex 8fef  
T1137s8;All groups;266;A1;2022-06-02;2022-06-05;2022-06-23;-;-;MceG complex 8fef  
