#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
HIV-1_SL4            RF01382   3cgs_B               -          cm       11       20       13        4      -    5'    2 0.60   0.0    8.2       5.5 ?   HIV-1 stem-loop 4 packaging signal
RF_site3             RF01079   1yg4_A               -          cm       13       39        1       27      +    5'    2 0.56   0.0   13.0      0.99 ?   Putative RNA-dependent RNA polymerase ribosomal frameshift site
RF_site1             RF01074   1yg4_A               -          cm       13       32        1       20      +    no    1 0.55   0.0   11.5       1.6 ?   Putative RNA-dependent RNA polymerase ribosomal frameshift site
MIR8032              RF03838   1yg4_A               -          cm        1       14       14        1      -    3'    3 0.71   0.0    8.9         8 ?   MIR8032 microRNA precursor family
mir-16               RF00254   6v5c_D               -          cm        1       82       12       92      +    no    1 0.37   0.0   96.5   1.5e-24 !   mir-16 microRNA precursor family
mir-15               RF00455   6v5c_D               -          cm        1       88        8       96      +    no    1 0.38   0.0   71.2   2.3e-19 !   mir-15 microRNA precursor family
mir-15               RF00455   6v5c_D               -          cm        1       88       96        8      -    no    1 0.38   0.0   52.0   3.2e-13 !   mir-15 microRNA precursor family
mir-16               RF00254   6v5c_D               -          cm        1       82       92       12      -    no    1 0.37   0.0   52.2     1e-11 !   mir-16 microRNA precursor family
mir-95               RF04053   6v5c_D               -          cm        1       79       16       88      +    no    1 0.36   0.0   25.7     0.002 !   mir-95 microRNA precursor family
mir-497              RF00793   6v5c_D               -          cm        1       85        8       94      +    no    1 0.37   0.0   24.3    0.0034 !   microRNA mir-497
mir-1993             RF03886   6v5c_D               -          cm        1       69       81       23      -    no    1 0.36   0.0   20.9     0.024 ?   mir-1993 microRNA precursor family
mir-2011             RF03687   6v5c_D               -          cm        1       83       95        9      -    no    1 0.38   0.0   21.5     0.025 ?   mir-2011 microRNA precursor family
MIR5565              RF04087   6v5c_D               -          cm        1      109        6       96      +    no    1 0.37   0.0   19.1     0.039 ?   MIR5565 microRNA precursor family
mir-2012             RF03980   6v5c_D               -          cm        1       84       91       15      -    no    1 0.36   0.0   20.3     0.052 ?   mir-2012 microRNA precursor family
mir-784              RF03711   6v5c_D               -          cm        1       77       15       91      +    no    1 0.36   0.0   19.3     0.063 ?   mir-784 microRNA precursor family
mir-2_2              RF03555   6v5c_D               -          cm        1       78       16       87      +    no    1 0.35   0.0   18.9     0.087 ?   mir-2_2 microRNA precursor family
mir-2024             RF01900   6v5c_D               -          cm        1       77       18       86      +    no    1 0.35   0.0   17.8      0.16 ?   microRNA mir-2024
mir-1264             RF03528   6v5c_D               -          cm        1       67       22       88      +    no    1 0.34   0.0   17.8      0.18 ?   mir-1264 microRNA precursor family
mir-2011             RF03687   6v5c_D               -          cm        1       83        9       95      +    no    1 0.38   0.0   18.0      0.21 ?   mir-2011 microRNA precursor family
mir-5890             RF03408   6v5c_D               -          cm        1       78       15       88      +    no    1 0.36   0.0   15.8       0.3 ?   mir-5890 microRNA precursor family
mir-338              RF00686   6v5c_D               -          cm        1       69       84       20      -    no    1 0.34   0.0   16.9      0.38 ?   microRNA mir-338
mir-559              RF03556   6v5c_D               -          cm        1       91       17       87      +    no    1 0.34   0.0   17.0      0.43 ?   mir-559 microRNA precursor family
mir-497              RF00793   6v5c_D               -          cm        1       85       96       15      -    no    1 0.39   0.0   16.2      0.45 ?   microRNA mir-497
mir-672              RF00911   6v5c_D               -          cm        1       81       16       91      +    no    1 0.36   0.0   16.2      0.48 ?   microRNA mir-672
mir-BART15           RF00868   6v5c_D               -          cm        1       79       11       93      +    no    1 0.36   0.0   15.9       0.7 ?   mir-BART15 microRNA precursor family
mir-999              RF01943   6v5c_D               -          cm        1       84       10       94      +    no    1 0.36   0.0   13.8       1.3 ?   microRNA mir-999
mir-503              RF00753   6v5c_D               -          cm        1       71       16       88      +    no    1 0.36   0.0   13.2       2.1 ?   microRNA mir-503
mir-2024             RF01900   6v5c_D               -          cm        1       77       86       23      -    no    1 0.34   0.0   12.7       3.6 ?   microRNA mir-2024
mir-1993             RF03886   6v5c_D               -          cm        1       69       23       81      +    no    1 0.36   0.0   12.6       4.7 ?   mir-1993 microRNA precursor family
mir-5014             RF04241   6v5c_D               -          cm        6      118        9       95      +    no    4 0.38   0.0   11.5       7.4 ?   mir-5014 microRNA precursor family
mir-4922             RF03918   6v5c_D               -          cm        1       65       22       86      +    no    1 0.34   0.0   12.9       8.4 ?   mir-4922 microRNA precursor family
