PDB ID,Source(s),Equivalence Class(es),EC size
100D,"RNA3DB","A|NR_all_71188.3|1, A|NR_all_71188.3|2, B|NR_all_71188.3|1, B|NR_all_71188.3|2"
104D,"RNA3DB",""
124D,"RNA3DB","B|NR_all_54274.1|1"
157D,"RNA3DB","A|NR_all_24936.2|2, B|NR_all_24936.2|2"
161D,"RNA3DB","A|NR_all_71188.3|1, B|NR_all_71188.3|1"
165D,"RNA3DB","A|NR_all_87893.1|2, B|NR_all_87893.1|2"
168D,"RNA3DB",""
169D,"RNA3DB",""
170D,"RNA3DB",""
176D,"RNA3DB","B|NR_all_61072.1|1"
17RA,"RNA3DB","A|NR_all_82060.1|1"
1A1T,"RNA3DB","B|NR_all_65529.1|1"
1A34,"RNA3DB","B|NR_all_24132.3|2, C|NR_all_24132.3|2"
1A3M,"RNA3DB","A|NR_all_91199.1|2, B|NR_all_91199.1|2"
1A4D,"RNA3DB","A|NR_all_66286.1|2, B|NR_all_66286.1|2"
1A4T,"RNA3DB","A|NR_all_04124.1|1"
1A51,"RNA3DB","A|NR_all_65451.1|1"
1A60,"RNA3DB","A|NR_all_92131.1|1, A|NR_all_93153.1|1"
1A9L,"RNA3DB","A|NR_all_01611.2|1"
1A9N,"RNA3DB","Q|NR_all_89332.1|1, R|NR_all_89332.1|1"
1AC3,"RNA3DB","B|NR_all_84970.1|1"
1AFX,"RNA3DB","A|NR_all_83722.1|1"
1AJF,"RNA3DB","A|NR_all_62040.1|1"
1AJL,"RNA3DB","A|NR_all_52254.1|2, B|NR_all_52254.1|2"
1AJT,"RNA3DB","A|NR_all_57473.1|2, B|NR_all_57473.1|2"
1AJU,"RNA3DB","A|NR_all_29722.1|1"
1AKX,"RNA3DB","A|NR_all_18727.1|1"
1AL5,"RNA3DB","A|NR_all_07975.1|2, B|NR_all_07975.1|2"
1AM0,"RNA3DB","A|NR_all_34704.1|1"
1ANR,"RNA3DB","A|NR_all_52900.1|1"
1AQ3,"RNA3DB","R|NR_all_51266.4|1, S|NR_all_51266.4|1"
1AQ4,"RNA3DB","R|NR_all_51266.4|1, S|NR_all_51266.4|1"
1AQO,"RNA3DB","A|NR_all_00390.1|1, A|NR_all_59412.1|1"
1ARJ,"RNA3DB","N|NR_all_76462.1|1, N|NR_all_84451.1|1"
1ASY,"RNA3DB","R|NR_all_24819.4|1, S|NR_all_24819.4|1"
1ASZ,"RNA3DB","R|NR_all_24819.4|1, S|NR_all_24819.4|1"
1ATO,"RNA3DB","A|NR_all_47387.1|1"
1ATV,"RNA3DB","A|NR_all_07425.1|1, A|NR_all_42655.1|1"
1ATW,"RNA3DB","A|NR_all_70406.1|1"
1AUD,"RNA3DB","B|NR_all_18745.1|1, B|NR_all_89800.1|1"
1AV6,"RNA3DB","B|NR_all_76648.1|1"
1B23,"RNA3DB","R|NR_all_34221.1|1"
1B2M,"RNA3DB","C|NR_all_78372.5|1, D|NR_all_78372.5|1, E|NR_all_78372.5|1"
1B36,"RNA3DB","A|NR_all_14284.1|1, A|NR_all_31139.1|1"
1B7F,"RNA3DB","P|NR_all_61964.1|1, Q|NR_all_09952.1|1"
1BAU,"RNA3DB","A|NR_all_25450.1|2, B|NR_all_25450.1|2"
1BGZ,"RNA3DB","A|NR_all_82965.1|1"
1BIV,"RNA3DB","A|NR_all_45541.1|1"
1BJ2,"RNA3DB","A|NR_all_62398.1|2, B|NR_all_62398.1|2"
1BMV,"RNA3DB","M|NR_all_11198.1|1"
1BN0,"RNA3DB","A|NR_all_64055.1|1"
1BR3,"RNA3DB","A|NR_all_10796.1|1"
1BVJ,"RNA3DB","A|NR_all_76134.1|1"
1BYJ,"RNA3DB","A|NR_all_54907.1|1"
1BYX,"RNA3DB","A|NR_all_32222.1|1"
1BZ2,"RNA3DB","A|NR_all_25417.1|1"
1BZ3,"RNA3DB","A|NR_all_16304.1|1"
1BZT,"RNA3DB","A|NR_all_16304.1|1"
1BZU,"RNA3DB","A|NR_all_69912.1|1"
1C04,"RNA3DB","E|NR_all_25376.1|1, F|NR_all_57955.2|1"
1C0A,"RNA3DB","B|NR_all_56204.1|1"
1C0O,"RNA3DB","A|NR_all_48565.1|1"
1C2Q,"RNA3DB","B|NR_all_31948.1|1"
1C2W,"RNA3DB","B|NR_all_91559.1|1"
1C2X,"RNA3DB","C|NR_all_27117.1|1"
1C4L,"RNA3DB","A|NR_all_98506.1|2, B|NR_all_98506.1|2"
1C9S,"RNA3DB","W|NR_all_55702.1|1"
1CGM,"RNA3DB","I|NR_all_68372.1|1"
1CQ5,"RNA3DB","A|NR_all_56732.2|1"
1CQL,"RNA3DB","A|NR_all_56732.2|1"
1CSL,"RNA3DB","A|NR_all_53157.1|2, B|NR_all_53157.1|2"
1CVJ,"RNA3DB","M|NR_all_85902.1|1, N|NR_all_78670.1|1, O|NR_all_78670.1|1, P|NR_all_78670.1|1, Q|NR_all_87059.1|1, R|NR_all_78670.1|1, S|NR_all_78670.1|1, T|NR_all_78670.1|1"
1CWP,"RNA3DB","D|NR_all_05106.1|1, E|NR_all_48777.2|1, F|NR_all_15685.1|1"
1CX5,"RNA3DB","B|NR_all_63585.1|1"
1D0T,"RNA3DB","A|NR_all_26549.1|1"
1D0U,"RNA3DB","A|NR_all_33353.1|1"
1D4R,"RNA3DB","A|NR_all_68428.1|2, B|NR_all_68428.1|2, C|NR_all_68428.1|1"
1D6K,"RNA3DB","B|NR_all_26988.1|1"
1D87,"RNA3DB",""
1D88,"RNA3DB",""
1D96,"RNA3DB",""
1D9D,"RNA3DB",""
1D9F,"RNA3DB",""
1D9H,"RNA3DB",""
1DDL,"RNA3DB","D|NR_all_03657.1|1, E|NR_all_21736.7|1"
1DDY,"RNA3DB","A|NR_all_88496.1|1, C|NR_all_88496.1|1, E|NR_all_88496.1|1, G|NR_all_88496.1|1"
1DFU,"RNA3DB","M|NR_all_14136.1|2, N|NR_all_14136.1|2"
1DHH,"RNA3DB","A|NR_all_87038.1|1"
1DI2,"RNA3DB","C|NR_all_18996.1|2, D|NR_all_18996.1|2, E|NR_all_18996.1|1, G|NR_all_18996.1|1"
1DK1,"RNA3DB","B|NR_all_23049.1|1"
1DNO,"RNA3DB",""
1DNT,"RNA3DB",""
1DNX,"RNA3DB",""
1DQF,"RNA3DB","A|NR_all_14653.1|2, B|NR_all_14653.1|2"
1DQH,"RNA3DB","A|NR_all_57060.1|2, B|NR_all_57060.1|2"
1DRN,"RNA3DB","A|NR_all_87038.1|1"
1DRR,"RNA3DB","B|NR_all_62339.1|1"
1DRZ,"RNA3DB","B|NR_all_73165.3|1"
1DUH,"RNA3DB","A|NR_all_99432.1|1"
1DUL,"RNA3DB","B|NR_all_27023.1|1"
1DUQ,"RNA3DB","A|NR_all_24974.1|2, B|NR_all_24974.1|2, C|NR_all_24974.1|2, D|NR_all_24974.1|2, E|NR_all_24974.1|2, F|NR_all_24974.1|2, G|NR_all_24974.1|2, H|NR_all_24974.1|2"
1DV4,"RNA3DB",""
1DXN,"RNA3DB",""
1DZ5,"RNA3DB","C|NR_all_56977.1|2, D|NR_all_56977.1|2"
1E4P,"RNA3DB","A|NR_all_66000.1|1, A|NR_all_78219.1|1"
1E7K,"RNA3DB","C|NR_all_43622.1|1, D|NR_all_43622.1|1"
1E8O,"RNA3DB","E|NR_all_59804.1|1"
1E8S,"RNA3DB","C|NR_all_19932.1|1"
1E95,"RNA3DB","A|NR_all_15923.1|1, A|NR_all_17507.1|1"
1EBQ,"RNA3DB","A|NR_all_24762.1|1"
1EBR,"RNA3DB","A|NR_all_17006.1|1"
1EBS,"RNA3DB","A|NR_all_02783.1|1"
1EC6,"RNA3DB","C|NR_all_94113.1|1, D|NR_all_53294.1|1"
1EFO,"RNA3DB","B|NR_all_73942.1|1"
1EFS,"RNA3DB","B|NR_all_58575.1|1"
1EFW,"RNA3DB","C|NR_all_56204.1|1, D|NR_all_56204.1|1"
1EG0,"RNA3DB","L|NR_all_74849.1|1, M|NR_all_94729.10|1, O|NR_all_35542.140|1"
1EGK,"RNA3DB","A|NR_all_62068.1|1, C|NR_all_62068.1|1"
1EHT,"RNA3DB","A|NR_all_48165.2|1"
1EHZ,"2020 RNA, RNA3DB","A|NR_all_83593.5|1"
1EI2,"RNA3DB","A|NR_all_98716.1|1"
1EIY,"RNA3DB","C|NR_all_36393.1|1"
1EJZ,"RNA3DB","A|NR_all_88865.1|1"
1EKA,"RNA3DB","A|NR_all_78038.1|2, B|NR_all_78038.1|2"
1EKD,"RNA3DB","A|NR_all_92683.1|2, B|NR_all_92683.1|2"
1EKZ,"RNA3DB","B|NR_all_60729.1|1, B|NR_all_85681.1|1"
1ELH,"RNA3DB","A|NR_all_97306.1|2, B|NR_all_97306.1|2"
1EMI,"RNA3DB","B|NR_all_64125.1|1"
1EQQ,"RNA3DB",""
1ESH,"RNA3DB","A|NR_all_39732.1|1"
1ESY,"RNA3DB","A|NR_all_41120.1|1, A|NR_all_79041.1|1"
1ET4,"RNA3DB","A|NR_all_88496.1|1, B|NR_all_88496.1|1, C|NR_all_88496.1|1, D|NR_all_88496.1|1, E|NR_all_88496.1|1"
1ETF,"RNA3DB","A|NR_all_41342.1|1"
1ETG,"RNA3DB","A|NR_all_41342.1|1"
1EUQ,"RNA3DB","B|NR_all_31819.5|1"
1EUY,"RNA3DB","B|NR_all_31819.5|1"
1EVP,"RNA3DB",""
1EVV,"RNA3DB","A|NR_all_83593.5|1"
1EXD,"RNA3DB","B|NR_all_31819.5|1"
1EXY,"RNA3DB","A|NR_all_55696.1|1"
1F1T,"RNA3DB","A|NR_all_74421.1|1"
1F27,"RNA3DB","A|NR_all_06439.1|2, B|NR_all_06439.1|2"
1F5G,"RNA3DB","A|NR_all_98048.1|2, B|NR_all_98048.1|2"
1F5H,"RNA3DB","A|NR_all_56050.1|2, B|NR_all_56050.1|2"
1F5U,"RNA3DB","A|NR_all_31750.1|1, B|NR_all_31750.1|1"
1F6U,"RNA3DB","B|NR_all_81739.1|1, B|NR_all_96213.1|1"
1F6X,"RNA3DB","A|NR_all_56766.2|1"
1F6Z,"RNA3DB","A|NR_all_36362.2|1"
1F78,"RNA3DB","A|NR_all_56766.2|1"
1F79,"RNA3DB","A|NR_all_36362.2|1"
1F7F,"RNA3DB","A|NR_all_56766.2|1"
1F7G,"RNA3DB","A|NR_all_22453.1|1, A|NR_all_83539.1|1"
1F7H,"RNA3DB","A|NR_all_00165.1|1, A|NR_all_17394.1|1"
1F7I,"RNA3DB","A|NR_all_36362.2|1"
1F7U,"RNA3DB","B|NR_all_59690.1|1"
1F7V,"RNA3DB","B|NR_all_59690.1|1"
1F7Y,"RNA3DB","B|NR_all_23049.1|1"
1F84,"RNA3DB","A|NR_all_34881.1|1, A|NR_all_91495.1|1"
1F85,"RNA3DB","A|NR_all_09578.1|1, A|NR_all_30917.1|1"
1F8V,"RNA3DB","R|NR_all_08337.1|1"
1F9L,"RNA3DB","A|NR_all_93725.1|1"
1FC8,"RNA3DB",""
1FCW,"RNA3DB","A|NR_all_83593.5|1, B|NR_all_83593.5|1, C|NR_all_83593.5|1, D|NR_all_83593.5|1, E|NR_all_83593.5|1"
1FEQ,"RNA3DB","A|NR_all_17816.1|1"
1FEU,"RNA3DB","B|NR_all_99953.1|2, C|NR_all_99953.1|2, E|NR_all_99953.1|2, F|NR_all_99953.1|2"
1FFK,"RNA3DB","0|NR_all_26150.3|1, 9|NR_all_25303.3|1"
1FFY,"RNA3DB","T|NR_all_49241.1|1"
1FFZ,"2020 RNA, RNA3DB","A|NR_all_26150.3|1"
1FG0,"RNA3DB","A|NR_all_26150.3|1"
1FHK,"RNA3DB","A|NR_all_84438.1|1, A|NR_all_93136.1|1"
1FIR,"RNA3DB","A|NR_all_90775.1|1"
1FIX,"RNA3DB","A|NR_all_92759.1|1"
1FJE,"RNA3DB","A|NR_all_93461.1|1"
1FJG,"RNA3DB","A|NR_all_65795.80|1, X|NR_all_58357.1|1"
1FKA,"RNA3DB","A|NR_all_65795.80|1"
1FL8,"RNA3DB","A|NR_all_15840.1|1"
1FMN,"RNA3DB","A|NR_all_57703.1|1"
1FNX,"RNA3DB","R|NR_all_30413.1|1"
1FOQ,"RNA3DB","A|NR_all_27833.1|1, B|NR_all_27833.1|1, C|NR_all_27833.1|1, D|NR_all_27833.1|1, E|NR_all_27833.1|1"
1FQZ,"RNA3DB","A|NR_all_18069.1|1"
1FUF,"RNA3DB","A|NR_all_14518.1|2, B|NR_all_14518.1|2"
1FXL,"RNA3DB","B|NR_all_50004.1|1"
1FYO,"RNA3DB","A|NR_all_04218.1|1"
1FYP,"RNA3DB","A|NR_all_52226.1|1"
1G1X,"RNA3DB","D|NR_all_13125.1|2, E|NR_all_13125.1|2, I|NR_all_40657.1|2, J|NR_all_40657.1|2"
1G2E,"RNA3DB","B|NR_all_88266.1|1"
1G2J,"RNA3DB","A|NR_all_36794.1|1"
1G3A,"RNA3DB","A|NR_all_40120.1|1, A|NR_all_40120.1|2, B|NR_all_40120.1|1, B|NR_all_40120.1|2"
1G4Q,"RNA3DB","A|NR_all_25735.1|1"
1G59,"RNA3DB","B|NR_all_29085.1|1, D|NR_all_29085.1|1"
1G70,"RNA3DB","A|NR_all_28653.1|1, A|NR_all_73166.1|1"
1GAX,"RNA3DB","C|NR_all_57348.1|1, D|NR_all_57348.1|1"
1GID,"2020 RNA, RNA3DB","A|NR_all_69808.1|1, B|NR_all_69808.1|1"
1GRZ,"RNA3DB","A|NR_all_39627.5|1, B|NR_all_39627.5|1"
1GSG,"RNA3DB","T|NR_all_31819.5|1"
1GTC,"RNA3DB",""
1GTF,"RNA3DB","W|NR_all_62528.1|1"
1GTN,"RNA3DB","W|NR_all_84424.1|1"
1GTR,"RNA3DB","B|NR_all_31819.5|1"
1GTS,"RNA3DB","B|NR_all_31819.5|1"
1GUC,"RNA3DB","A|NR_all_10396.1|2, B|NR_all_10396.1|2"
1GV6,"RNA3DB",""
1H0Q,"RNA3DB","B|NR_all_15880.1|1"
1H1K,"RNA3DB","I|NR_all_83601.1|2, J|NR_all_92211.1|2, K|NR_all_70990.1|2, L|NR_all_83601.1|2, M|NR_all_92211.1|2, N|NR_all_70990.1|2"
1H2C,"RNA3DB","R|NR_all_61174.1|1"
1H2D,"RNA3DB","R|NR_all_61174.1|1, S|NR_all_61174.1|1"
1H38,"RNA3DB","F|NR_all_98371.1|1, I|NR_all_98371.1|1, L|NR_all_98371.1|1, O|NR_all_98371.1|1"
