rank,model,dataset,modality,method,metric,score,clusters,samples,training_overlap
1,rinalmo,2d,bprna,greedy,f1,0.7961445308332228,16350,55722,true
2,rinalmo,2d,bprna,hungarian,f1,0.7828270463187916,16350,55722,true
3,rinalmo,2d,bprna,threshknot,f1,0.775460646399464,16350,55722,true
4,ufold,2d,bprna,threshknot,f1,0.6844301676856351,16350,55722,true
5,ufold,2d,bprna,hungarian,f1,0.6768246247727904,16350,55722,true
6,ufold,2d,bprna,threshold_0.5,f1,0.6768239593667064,16350,55722,true
7,rna-fm,2d,bprna,threshknot,f1,0.6092928989454207,16350,55722,true
8,rna-fm,2d,bprna,postprocess_0.5,f1,0.5956948186527657,16350,55722,true
9,rna-fm,2d,bprna,hungarian,f1,0.5954857429988392,16350,55722,true
10,ribonanzanet,2d,bprna,threshknot,f1,0.567225657870648,16350,55722,true
11,ribonanzanet,2d,bprna,hungarian,f1,0.5548273616342885,16350,55722,true
12,mxfold2,2d,bprna,mfe,f1,0.5483883202896895,16350,55722,true
13,eternafold,2d,bprna,threshknot,f1,0.5422767205119929,16350,55722,false
14,contrafold,2d,bprna,threshknot,f1,0.5387174708425789,16350,55722,false
15,eternafold,2d,bprna,mea_gamma_1,f1,0.5345720377967789,16350,55722,false
16,eternafold,2d,bprna,viterbi,f1,0.5295021647679596,16350,55722,false
17,contrafold,2d,bprna,mea_gamma_1,f1,0.5223952239391318,16350,55722,false
18,vienna,2d,bprna,hungarian,f1,0.5171475550084729,16350,55722,false
19,eternafold,2d,bprna,hungarian,f1,0.5168908228632039,16350,55722,false
20,contrafold,2d,bprna,viterbi,f1,0.5146881522259086,16350,55722,false
21,rnastructure,2d,bprna,hungarian,f1,0.5145518784372362,16350,55722,false
22,vienna,2d,bprna,mea_gamma_1,f1,0.5119950866649741,16350,55722,false
23,vienna,2d,bprna,threshknot,f1,0.5097235643567092,16350,55722,false
24,rnastructure,2d,bprna,threshknot,f1,0.5069133429298067,16350,55722,false
25,rnastructure,2d,bprna,mea_gamma_1,f1,0.5048962535364839,16350,55722,false
26,vienna,2d,bprna,mfe,f1,0.502639936744123,16350,55722,false
27,vienna,2d,bprna,rnapkplex,f1,0.5026312832913646,16350,55722,false
28,rnastructure,2d,bprna,probknot,f1,0.4982897990558204,16350,55722,false
29,rnastructure,2d,bprna,mfe,f1,0.49799827855262874,16350,55722,false
30,contrafold,2d,bprna,hungarian,f1,0.4938632515175682,16350,55722,false
31,mxfold2,2d,bprna,threshknot,f1,0.4478504438419056,16350,55722,true
32,mxfold2,2d,bprna,hungarian,f1,0.43907672234631034,16350,55722,true
1,eternafold,2d,efold_challenging,threshknot,f1,0.752345487844038,44,45,false
2,rnastructure,2d,efold_challenging,mea_gamma_1,f1,0.7454363833712883,44,45,false
3,rnastructure,2d,efold_challenging,hungarian,f1,0.7451185272564307,44,45,false
4,vienna,2d,efold_challenging,hungarian,f1,0.7358058398117495,44,45,false
5,rnastructure,2d,efold_challenging,threshknot,f1,0.7352309050529819,44,45,false
6,eternafold,2d,efold_challenging,mea_gamma_1,f1,0.7306749182420574,44,45,false
7,vienna,2d,efold_challenging,mea_gamma_1,f1,0.7271516790544541,44,45,false
8,vienna,2d,efold_challenging,threshknot,f1,0.7240633563828807,44,45,false
9,contrafold,2d,efold_challenging,threshknot,f1,0.7219909321940646,44,45,false
10,eternafold,2d,efold_challenging,viterbi,f1,0.7161168866242977,44,45,false
11,rnastructure,2d,efold_challenging,probknot,f1,0.7117285655886588,44,45,false
12,vienna,2d,efold_challenging,mfe,f1,0.7009955928315211,44,45,false
13,ribonanzanet,2d,efold_challenging,hungarian,f1,0.6992263196717381,44,45,false
14,contrafold,2d,efold_challenging,mea_gamma_1,f1,0.6985038409867885,44,45,false
15,rnastructure,2d,efold_challenging,mfe,f1,0.6976903187300337,44,45,false
16,ribonanzanet,2d,efold_challenging,threshknot,f1,0.6971064463189711,44,45,false
17,vienna,2d,efold_challenging,rnapkplex,f1,0.6918938539196504,44,45,false
