rank,dataset,model,samples,clusters,completed,delta_tm,tm_score,rho_tm,inf_wc,inf_wc_samples,inf_nwc,inf_nwc_samples
1,monomer,Protenix-v1,967,219,967,-0.10866607686453578,0.5102083111545989,0.8468429304223415,0.868167068294397,967,0.4661977854260453,967
2,monomer,OpenFold3,967,219,967,-0.11685580390664639,0.5020185841124882,0.8110148868349195,0.8638514373793412,967,0.45183167563430826,967
3,monomer,RoseTTAFold3,967,219,967,-0.12233202293976957,0.4965423650793651,0.7995818433169194,0.8533909849667987,967,0.43046226900676754,967
4,monomer,AlphaFold 3,967,219,967,-0.12811721685873742,0.4907571711603972,0.81004832794452,0.8508600957557451,967,0.426088863230073,967
5,monomer,NuFold,967,219,967,-0.13873514546640575,0.48442962644053056,0.8236212825756624,0.7909881569378413,967,0.32006879977676156,967
6,monomer,RoseTTAFold2NA,967,219,967,-0.1442212019641951,0.45788655686018703,0.8427102494087538,0.7528896656353715,967,0.3173599725456278,967
7,monomer,RhoFold+,967,219,860,-0.16835752576647098,0.45734505435964334,0.8060168088902903,0.5321484626126383,860,0.09488186680132886,860
8,monomer,Boltz-2,967,219,967,-0.19598664303834168,0.4912527825614264,0.5845466636647983,0.8464393195231867,967,0.4007744157431616,967
9,monomer,trRosettaRNA,967,219,967,-0.20910574106689855,0.41358256204247296,0.6732322597598456,0.7009972311184492,967,0.13511077489185702,967
1,multimer,AlphaFold 3,455,208,455,-0.09588469757737497,0.4025756855547774,0.7757183701119628,0.8858805336331371,455,0.6705339081202797,455
2,multimer,Protenix-v1,455,208,454,-0.09816110589454798,0.40029927723760433,0.7906311842238616,0.8854055762891024,454,0.6566928960918734,454
3,multimer,RoseTTAFold3,455,208,451,-0.1149697835131916,0.38349059961896076,0.7114733559877537,0.8772771379672613,451,0.6444360263440493,451
4,multimer,OpenFold3,455,208,454,-0.11850270775350741,0.379957675378645,0.7383436548196274,0.8815243209101802,454,0.6885236485689096,454
5,multimer,Boltz-2,455,208,452,-0.19258122771859812,0.3952544355068951,0.6732817549334791,0.8707794271377407,452,0.6550492711290075,452
6,multimer,RoseTTAFold2NA,455,208,449,-0.29389724647802495,0.18983949345357803,0.2942370964754444,0.4914280968805537,449,0.37413829706682,449
