DMS_ID,RNA_TYPE,variants,scored_variants,evaluated_variants
Andreasson_2020_ribozyme,Ribozyme,7342,6822,6822
Beck_2022_ribozyme,Ribozyme,21321,17205,17205
Domingo_2018_tRNA,tRNA,4175,4175,4175
Guy_2014_tRNA,tRNA,25491,22510,22510
Janzen_2022_fam1a1_ribozyme,Ribozyme,1953,1953,1953
Janzen_2022_fam1b1_ribozyme,Ribozyme,1953,1953,1953
Janzen_2022_fam21_ribozyme,Ribozyme,1953,1596,1596
Janzen_2022_fam22_ribozyme,Ribozyme,1953,1953,1953
Janzen_2022_fam31_ribozyme,Ribozyme,1953,1953,1953
Kobori_2015_ribozyme_j12,Ribozyme,255,255,255
Kobori_2015_ribozyme_p4,Ribozyme,255,255,255
Kobori_2015_ribozyme_tw,Ribozyme,1023,1023,1023
Kobori_2018_ribozyme,Ribozyme,16383,63,63
Li_2016_tRNA,tRNA,65536,65536,65536
Peri_2022_ribozyme,Ribozyme,16383,1023,1023
Pitt_2010_ribozyme,Ribozyme,186,99,99
Roberts_2023_cepeb3_ribozyme,Ribozyme,21321,17205,17205
Roberts_2023_HDV_ribozyme,Ribozyme,33930,33153,33153
Roberts_2023_hh_ribozyme,Ribozyme,9045,9045,9045
Roberts_2023_hp_ribozyme,Ribozyme,22578,11628,11628
Roberts_2023_tw_ribozyme,Ribozyme,10296,6786,6786
Soo_2021_ribozyme,Ribozyme,63430,0,0
Tome_2014_GFP_aptamer,Aptamer,417,0,0
Tome_2014_NELFE_aptamer,Aptamer,2652,1817,1817
Zhang_2020_cpeb3_ribozyme,Ribozyme,111417,40712,40712
Zhang_2024_line1_mini_ribozyme,Ribozyme,149710,135953,135953
Zhang_2024_line1_full_ribozyme,Ribozyme,69583,23499,23499
Zhang_2024_OR4K15_ribozyme,Ribozyme,61393,57209,57209
McRae_2024_5tu_ribozyme,Ribozyme,74942,22235,22235
McRae_2024_t1_ribozyme,Ribozyme,47503,14739,14739
Kobori_2016_osa_ribozyme,Ribozyme,10296,7875,7875
