model,strategy,Ribozyme,tRNA,Aptamer,macro_3ncRNA
AIDO.RNA-1.6B,mask-fill,0.0711558718183486,0.4528447167435985,0.0790099175279454,0.2010035020299642
AIDO.RNA-1.6B,match-fill,0.0594302533307336,0.4597095238591757,0.0775229431656438,0.198887573451851
AIDO.RNA-1.6B,mut-fill,0.073937583955693,0.3885241187083097,0.0847234840806227,0.1823950622482084
AIDO.RNA-1.6B,wt-fill,0.0608547145460644,0.4883787106096389,0.0718036455462622,0.2070123569006552
AIDO.RNA-1M-MARS,mask-fill,-0.0003858066042423,0.2099289676844771,0.061706392753086,0.0904165179444402
AIDO.RNA-1M-MARS,match-fill,-0.0036154309099485,0.2001046465356077,0.0599300356988054,0.0854730837748215
AIDO.RNA-1M-MARS,mut-fill,0.001744967493573,0.1760305856902303,0.062215601235242,0.0799970514730151
AIDO.RNA-1M-MARS,wt-fill,0.0013833725774681,0.1777039407912451,0.0625990558827026,0.0805621230838053
AIDO.RNA-25M-MARS,mask-fill,-0.0080679765252972,0.3846516118384668,0.0375659162215725,0.1380498505115807
AIDO.RNA-25M-MARS,match-fill,-0.0223139990013149,0.4054395286704635,0.0347959986502595,0.1393071761064694
AIDO.RNA-25M-MARS,mut-fill,-0.0007045190339156,0.2715814746903859,0.0370100959874292,0.1026290172146331
AIDO.RNA-25M-MARS,wt-fill,-0.0298765175467791,0.456947919154572,0.0347915567069773,0.1539543194382567
AIDO.RNA-300M-MARS,mask-fill,-0.002318707778476,0.4156447069635412,0.040882006181148,0.1514026684554044
AIDO.RNA-300M-MARS,match-fill,-0.0202025458235484,0.4459552615131028,0.0360900276971144,0.1539475811288896
AIDO.RNA-300M-MARS,mut-fill,0.0056655763225726,0.3683046102759297,0.0367067135240057,0.136892300040836
AIDO.RNA-300M-MARS,wt-fill,-0.0255811990086168,0.4550919102078445,0.0371789292494538,0.1555632134828938
AIDO.RNA-650M,mask-fill,0.0561792246625304,0.447101236218364,0.0947219340048093,0.1993341316285679
AIDO.RNA-650M,match-fill,0.0495166659489845,0.4639243972041769,0.0917207407628353,0.2017206013053322
AIDO.RNA-650M,mut-fill,0.046158489045562,0.3927081253182438,0.0913799489696062,0.1767488544444707
AIDO.RNA-650M,wt-fill,0.0660332868987325,0.4893565654410639,0.0934325517551516,0.216274134698316
RNA-FM,mask-fill,-0.0409644821312328,0.3866832315666649,0.0009191892371025,0.1155459795575115
RNA-FM,match-fill,-0.023997554480859,0.403098385867694,0.0010741984500069,0.1267250099456139
RNA-FM,mut-fill,-0.0303011460608878,0.3341866961122435,0.0004181460382951,0.1014345653632169
RNA-FM,wt-fill,-0.0224760788032156,0.4146672587305333,-0.0042742403435094,0.129305646527936
RNAGenesis,mask-fill,0.0646649413419138,0.4430794477960186,0.03294921045597,0.1802311998646341
RNAGenesis,match-fill,0.0602226295416455,0.444001298043382,0.0237764923043939,0.1760001399631404
RNAGenesis,mut-fill,0.0465260030681693,0.3735092434830764,0.0289580251896279,0.1496644239136245
RNAGenesis,wt-fill,0.0750044159987944,0.4380555746849195,0.0343114577905016,0.1824571494914051
RiNALMo,mask-fill,-0.0143484959918101,0.459569427178537,0.0476616875034881,0.1642942062300717
RiNALMo,match-fill,-0.0294320277613483,0.4741679689727105,0.0384591474849403,0.1610650295654341
RiNALMo,mut-fill,-0.0092389501238413,0.3909676352806882,0.0356096135810886,0.1391127662459785
RiNALMo,wt-fill,-0.0243482728829925,0.4855667318003715,0.0458576152000779,0.1690253580391523
