model,Ribozyme,tRNA,Aptamer,macro_3ncRNA
EVmutation,0.24604860894851743,0.46023832391174485,0.1370765459660463,0.28112115960876954
RNAErnie,0.12875476074732678,0.4147490499064001,0.17841523714364266,0.2406396825991232
evo2_20b,0.1228095817616063,0.4344699577324014,0.02109268383880974,0.19279074111093916
evo2_40b,0.11696098214004054,0.430921954473341,0.022139428871089245,0.19000745516149029
aido_rna_650m,0.05713664955564739,0.4915142363579288,0.018471452942482022,0.18904077961868604
aido_rna,0.05541951037548277,0.490143040185095,0.021408233136557295,0.18899026123237836
rinalmo,0.016197728426232506,0.48881102863810694,0.03986487041732329,0.18162454249388757
RNA-FM,-0.028140422588410808,0.4151848844981643,0.06966330278279369,0.1522359215641824
evo2,0.07501585880982076,0.3864270363074905,-0.012984068450590884,0.14948627555557345
evo2_1b_base,0.019438091110386274,0.44783974896911266,-0.022624326220476228,0.14821783795300758
rnagenesis,0.08868347107331169,0.4397098879350387,-0.09127304225558788,0.14570677225092082
aido_rna_300m,-0.027807051628659055,0.4563127192851651,-0.02955625356620814,0.1329831380300993
aido_rna_25m,-0.03189895532511079,0.4565081044209765,-0.0277660373930302,0.1322810372342785
evo1.5,0.025883294728653312,0.38683369401933826,-0.031019982919294364,0.1272323352762324
ntv3_650m,-0.02583845362639543,0.3536618369717301,0.009273179928343422,0.11236552109122604
ntv3_8m,-0.010953422424942912,0.30711066438466594,0.00400169888673593,0.10005298028215298
ntv3_100m,-0.003922683567753994,0.25521797235350796,-0.020686896636198913,0.07686946404985169
GenSLM,-0.03485269214834123,0.10261689783868821,0.13141154562243548,0.06639191710426083
aido_rna_1m,-0.001013766981114839,0.18051534648407533,-0.037934875774833746,0.047188901242708914
evo1,-0.011919472671041886,0.09744314077754458,-0.0040302035641527414,0.027164488180783316
orthrus,-0.03841507635218271,0.09191845565698502,0.024730010768467058,0.026077796691089783
