model,Ribozyme,tRNA,Aptamer,macro_3ncRNA
aido_rna_650m,0.0660332868987325,0.4893565654410639,0.0934325517551516,0.216274134698316
evo2_20b,0.1104601596335257,0.4345270738070895,0.0937093504359844,0.2128988612921999
evo2_40b,0.1081020224381099,0.4309848333293184,0.09695482733614616,0.21201389436785814
aido_rna,0.0608547145460644,0.4883787106096389,0.0718036455462622,0.2070123569006552
evo2_1b_base,0.0086596951000284,0.4466199808506075,0.1334226383526211,0.1962341047677523
RNAErnie,0.13427241327809655,0.416115138737617,0.030641733377440288,0.1936764284643846
evo2,0.06511905079221095,0.3867345488695757,0.11920502912796216,0.1903528762632496
rnagenesis,0.0750044159987944,0.4380555746849195,0.0343114577905016,0.1824571494914051
rinalmo,-0.0243482728829925,0.4855667318003715,0.0458576152000779,0.1690253580391523
aido_rna_300m,-0.0255811990086168,0.4550919102078445,0.0371789292494538,0.1555632134828938
aido_rna_25m,-0.0298765175467791,0.456947919154572,0.0347915567069773,0.1539543194382567
evo1.5,0.029124344498996584,0.3848767184626376,-0.0010420422565921537,0.13765300690168067
ntv3_8m,-0.011143627794088702,0.3052878533730738,0.09879528686142668,0.13097983748013725
RNA-FM,-0.0224760788032156,0.4146672587305333,-0.0042742403435094,0.129305646527936
ntv3_650m,-0.02400801845378366,0.35176296869145113,0.04360222670762418,0.12378572564843056
ntv3_100m,-0.017411307436819852,0.2544237962973999,0.1001368736984453,0.11238312085300846
aido_rna_1m,0.0013833725774681,0.1777039407912451,0.0625990558827026,0.0805621230838053
orthrus,-0.034851722441808085,0.09222411475539294,0.1577698751166801,0.07171408914342164
GenSLM,-0.013394211604770691,0.10020974930877817,0.06204427969003089,0.04961993913134612
evo1,-0.02753926367420387,0.09885488335511416,0.029950014386063754,0.03375521135565802
