PDB ID,Chain ID
7KUD,A
7R21,R
7WBX,P
7YPA,I
8A40,P
8D4A,C
8FJL,b3
8G6R,I
8HUD,B
8PZQ,D
7M5D,4
7S7C,D
7WM4,A
7YR7,A
8A98,S4
8D8N,C
8FJL,b5
8G6R,J
8I3Z,A
8QPP,V
7MKT,A
7SBA,Z
7WM4,B
7Z42,H
8AF0,D
8D9F,C
8FJL,b6
8G7T,X
8IDF,B
8SCF,A
7OOD,4
7SBB,X
7WV3,E
7ZAH,5
8AM9,X
8D9G,C
8FMW,AB
8GU6,J
8IFK,C
8SH5,R
7P0V,B
7SZU,R
7WV5,E
7ZHG,5
8APN,A6
8DFV,E
8FMW,X
8GW1,J
8ISS,E
8SNX,T
7P6Z,7
7T1N,A
7XLT,B
7ZLQ,D
8B2L,i2
8DG7,E
8FNC,g
8GXB,B
8J1J,C
8SQK,T
7PMM,D
7TOQ,MRNA
7XN7,P
7ZOL,C
8B9I,C
8DO6,I
8FNC,m
8H0I,X
8J62,X
8SXL,B
7PWG,3
7TRA,R
7XSX,P
7ZTA,MRN1
8BH9,B
8E40,R
8FNF,m
8H0V,P
8JDK,A
8T29,R
7PWO,42
7U2I,2y
7XSZ,P
7ZW0,sm
8BHF,21
8EHQ,R
8FNI,m
8H0W,P
8JH3,P
8TNS,A
7PWO,w2
7UME,A
7XTD,P
8A22,A1
8BMW,R
8EWG,B
8FNK,g
8H69,5
8JH4,P
8U3M,A
7QCA,L70
7UNC,P
7XYB,R
8A22,A2
8BSI,y
8EYU,A
8FNK,m
8H7Q,D
8OVA,AB
8UPT,A
7QDE,A
7UND,P
7Y2P,A
8A22,A3
8BTR,y
8F3C,R
8FOJ,P
8HB8,A
8OZE,N
8UYE,A
7QGG,w
7UOE,P
7Y2P,B
8A22,A4
8BWT,A
8F5G,F
8FOK,P
8HE5,P
8P4A,P
8UYL,A
7QI4,Ay
7URI,y
7Y8T,D
8A22,A5
8C8J,C
8FFI,J
8FOM,XX
8HF0,N
8P4B,P
8UYS,A
7QI4,Az
7VFT,A
7Y8Y,E
8A22,A8
8CLR,A
8FIX,R
8FON,XX
8HF1,K
8P4C,P
8VCI,A
7QI6,Ax
7VPX,K
7YCH,B
8A22,A9
8CQ1,A
8FIZ,AW
8FTI,B
8HKE,C
8P4D,P
8WAX,Z
7QIZ,aA
7W0A,C
7YED,T
8A22,B1
8CVM,b
8FJK,a6
8FVI,B
8HKE,D
8P4F,P
8WAY,Z
7QP6,7
7W0A,D
7YGB,B
8A22,B2
8D29,F
8FJL,a2
8G5M,R
8HKU,A5S
8PDS,E
8WAZ,Z
7QR3,D
7WBV,P
7YPA,H
8A22,B4
8D4A,B
8FJL,b1
8G5Z,mR
8HKU,AETN
8PV7,C4
8WB0,Z
