PDB ID,Chain ID
7QI6,Ax
7R21,R
7WBV,P
7WBX,P
7WM4,A
7WM4,B
7Y8Y,E
7YED,T
7YR7,A
8A98,S4
8B2L,i2
8BHF,21
8BMW,R
8BWT,A
8CQ1,A
8CVM,b
8D4A,B
8D4A,C
8D9G,C
8EHQ,R
8EWG,B
8EYU,A
8F3C,R
8F5G,F
8FFI,J
8FIZ,AW
8FJK,a6
8FJL,a2
8FJL,b1
8FJL,b3
8FJL,b5
8FJL,b6
8FMW,AB
8FMW,X
8FNC,g
8FNC,m
8FNF,m
8FNI,m
8FNK,g
8FNK,m
8FOM,XX
8FON,XX
8FTI,B
8G5M,R
8G6R,I
8G6R,J
8GU6,J
8GW1,J
8GXB,B
8H0I,X
8H69,5
8H7Q,D
8HB8,A
8HE5,P
8HKE,C
8HKE,D
8HKU,A5S
8HKU,AETN
8HUD,B
8I3Z,A
8IDF,B
8IFK,C
8ISS,E
8J1J,C
8J62,X
8OVA,AB
8OZE,N
8P4A,P
8P4B,P
8P4C,P
8P4D,P
8P4F,P
8QPP,V
8SCF,A
8SH5,R
8SQK,T
8T29,R
8TNS,A
8U3M,A
8UPT,A
8UYE,A
8UYL,A
8UYS,A
8VCI,A
